string,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
Sinu teadmised,Suur kotkas,Suure kotka,Suures kotkas,Suurt kotkast,Suurest kotkast,Suurele kotkale,,
nõidusest suurenesid. (nüüd tugevusastmel,Väike madu,Väikse mao,Väikses maos,Väikest madu,Väiksest maost,Väiksele maole,,
),Madu,Mao,Maos,Madu,Maost,Maole,,
nõidusest vähenesid.,Suur madu,Suure mao,Suures maos,Suurt madu,Suurest maost,Suurele maole,,
mana tekkimine,Hiigelmadu,Hiigelmao,Hiigelmaos,Hiigelmadu,Hiigelmaost,Hiigelmaole,,
Sinu kaardi peal rändamise kiirus suurenes,Noor Lõvi,Noore lõvi,Noores lõvis,Noort lõvi,Noorest lõvist,Noorele lõvile,,
Sinu kaardi peal rändamise kiirus vähenes,Lõvi,Lõvi,Lõvis,Lõvi,Lõvist,Lõvile,,
lisaks,Võimas Lõvi,Võimsa lõvi,Võimsas lõvis,Võimsat lõvi,Võimsast lõvist,Võimsale lõvile,,
omadusele.,Noor panter,Noore pantri,Noores pantris,Noort pantrit,Noorest pantrist,Noorele pantrile,,
tulega põletamise,Panter,Pantri,Pantris,Pantrit,Pantrist,Pantrile,,
mürgitamise,Must Panter,Musta pantri,Mustas pantris,Musta pantrit,Mustast pantrist,Mustale pantrile,,
elektriga kõrvetamise,Väike paharett,Väikse pahareti,Väikses paharetis,Väikest paharetti,Väiksest paharetist,Väiksele paharetile,,
külmutamise,Paharett,Pahareti,Paharetis,Paharetti,Paharetist,Paharetile,,
,Väike deemon,Väikse deemoni,Väikses deemonis,Väikest deemonit,Väiksest deemonist,Väiksele deemonile,,
", (kalkulatsioon tehtud soovitataval jõul",Deemon,Deemoni,Deemonis,Deemonit,Deemonist,Deemonile,,
),Kõrgem deemon,Kõrgema deemoni,Kõrgemas deemonis,Kõrgemat deemonit,Kõrgemast deemonist,Kõrgemale deemonile,,
kaitsele löökide eest.,Noor lohe,Noore lohe,Noores lohes,Noort lohe,Noorest lohest,Noorele lohele,,
extra löök ühes lahingu roundis.,Kahepealine lohe,Kahepealise lohe,Kahepealises lohes,Kahepealist lohe,Kahepealisest lohest,Kahepealisele lohele,,
extra lööki ühes lahingu roundis.,Kolmepealine lohe,Kolmepealise lohe,Kolmepealises lohes,Kolmepealist lohe,Kolmepealisest lohest,Kolmepealisele lohele,,
elu juurde.,Viiepealine lohe,Viiepealise lohe,Viiepealises lohes,Viiepealist lohe,Viiepealisest lohest,Viiepealisele lohele,,
elu vähemaks.,Draakonibeebi,Draakonibeebi,Draakonibeebis,Draakonibeebit,Draakonibeebist,Draakonibeebile,,
,Draakonipoeg,Draakonipoja,Draakonipojas,Draakonipoega,Draakonipojast,Draakonipojale,,
,Noor draakon,Noore draakoni,Noores draakonis,Noort draakonit,Noorest draakonist,Noorele draakonile,,
,Punane draakon,Punase draakoni,Punases draakonis,Punast draakonit,Punasest Draakonist,Punasele draakonile,,
Palgasõdurite laager!,Suur punane draakon,Suure punase draakoni,Suures punases draakonis,Suurt punast draakonit,Suurest punasest draakonist,Suurele punasele draakonile,,
Vaid üksikud palgasõdurid on valmis pakkuma Sulle oma teeneid.,Punane mantel,Punase mantli,Punases mantlis,Punast mantlit,,,,
Sinust ollakse kuuldud. Mitmed on valmis relvi haarama.,,,,,,,,
Märkad kõikjal innustunuid nägusid. Paljud käivad end Sulle pakkumas.,Jää Altar,Jää Altari,Jää Altaris,Jää Altarit,,,,
Märkad kõikjal innustunuid nägusid. Paljud käivad end Sulle pakkumas.,Kants,Kantsi,Kantsis,Kantsi,,,,
Palka,Linnus,Linnuse,Linnuses,Linnust,,,,
Sa võid palgata:,Kindlus,Kindluse,Kindluses,Kindlust,,,,
", kes liituks sinuga",Valge Altar,Valge Altari,Valgesse Altaris,Valget Altarit,,,,
kulla eest,Valge Tempel,Valge Templi,Valgesse Templis,Valget Templit,,,,
-ks päevaks,Surma Altar,Surma Altari,Surma Altaris,Surma Altarit,,,,
"Kuigi märkad laagris mitmeid kolle, ei ükski neist nõus Sinuga liituma.",Surma Tempel,Surma Templi,Surma Templis,Surma Templit,,,,
Sul ei ole piisavalt kulda.,Õhu Altar,Õhu Altari,Õhu Altaris,Õhu Altarit,,,,
"Sul on juba liiga palju kaaslaseid, rohkem ei mahu!",Õhu Tempel,Õhu Templi,Õhu Templis,Õhu Templit,,,,
Sa palkasid,Maa Altar,Maa Altari,Maa Altaris,Maa Altarit,,,,
.,Maa Tempel,Maa Templi,Maa Tempelis,Maa Templit,,,,
kulla eest (,Tule Altar,Tule Altari,Tule Altaris,Tule Altarit,,,,
päevaks),Tule Tempel,Tule Templi,Tule Tempis,Tule Templit,,,,
Soovid sa palgata,Vee Altar,Vee Altari,Vee Altaris,Vee Altarit,,,,
kulla eest? (,Vee Tempel,Vee Templi,Vee Templis,Vee Tempit,,,,
Sattusid treening väljakutele!,Võitlusareen,Võitlusareeni,Võitlusareenil,Võitlusareeni,,,,
Olles neil väljakuil meenub Sulle Su lapsepõlv.,Sõjakool,Sõjakooli,Sõjakoolis,Sõjakooli,,,,
Sinusugusel kogenud sõdalasel ei ole siin enam midagi asjalikku teha!,Relvasepp,Relvasepa,Relvasepal,Relvaseppa,,,,
Treenimine võtab terve päeva!,Turvise Sepp,Turvise Sepa,Turvise Sepal,Turvise Seppa,,,,
Treeni jõudu,Jahilaager,Jahilaagri,Jahilaagris,Jahilaagrit,,,,
Treeni osavust,Laekur,Laekuri,Laekuris,Laekurit,,,,
Sinu,Draakoni pesa,Draakoni pesa,Draakoni pesas,Draakoni pesa,,,,
tõusis. Sinu,Pank,Panga,Pangas,Panka,,,,
on nüüd,Haldjate pühamu,Haldjate pühamu,Haldjate pühamus,Haldjate pühamu,,,,
Soovid Sa tõesti treenida oma,Varjupaik,Varjupaiga,Varjupaigas,Varjupaika,,,,
kulla eest?,Kasarmu,Kasarmu,Kasarmus,Kasarmut,,,,
"Jõud lisab Su löökidele tugevust, samuti",Tiir,Tiiru,Tiirus,Tiiru,,,,
suurendab ta Su elupunktide taastumise kiirust,Noolekoda,Noolekoja,Noolekojas,Noolekoda,,,,
ning lisaks annab iga 4-s jõud ühe kaitse.,Fire mana,Fire mana,Fire manas,Fire manat,,,,
"Osavus võimaldab Sul olla vastastest kiirem,",Earth mana,Earth mana,Earth mana,Earth manat,,,,
lisaks annab iga 5-s osavus ühe lisalöögi roundis.,Air mana,Air mana,Air mana,Air manat,,,,
"Võlujõud määrab ära Sinu loitsude tugevuse ja kestvuse,",Water mana,Water mana,Water mana,Water mana,,,,
samuti aitab ta Sul vastu seista vastaste loitsudele.,Death mana,Death mana,Death mana,Death mana,,,,
jõud,Life mana,Life mana,Life mana,Life mana,,,,
osavus,Arcane mana,Arcane mana,Arcane mana,Arcane mana,,,,
võlujõud,Metsavahipost,Metsavahiposti,Metsavahipostil,Metsavahiposti,,,,
Pühamu. Kui vaikne siin on!,Harpüia Pesa,Harpüia Pesa,Harpüia Pesas,Harpüia Pesa,,,,
Milline suurepärane koht puhkamiseks!,Hobusetall,Hobusetalli,Hobusetallis,Hobusetalli,,,,
Sa said,Ratsaväelane,Ratsaväelase,Ratsaväelases,Ratsaväelast,Ratsaväelasest,,,
Soovid Sa tõesti puhata?,Väike draakonibeebi,Väikse draakonibeebi,Väikses draakonibeebis,Väikest draakonibeebit,Väiksest draakonibeebist,,,
Soovid Sa tõepoolest ravitalitust?,Kassipoeg,Kassipoja,Kassipoeg,Kassipoega,Kassipojast,,,
See läheb Sulle maksma,Kutsikas,Kutsika,Kutsikas,Kutsikat,Kutsikast,,,
"(ravitakse kõiki, kes Sinuga ühes)",Lõvikutsikas,Lõvikutsika,Lõvikutsikas,Lõvikutsikat,Lõvikutsikast,,,
Ravitalitus,Pantrikutsikas,Pantrikutsika,Pantrikutsikas,Pantrikutsikat,Pantrikutsikast,,,
Aarete saar.,Karupoeg,Karupoja,Karupoeg,Karupoega,Karupojast,,,
Sisenesid katakombi.,Draakonibeebi,Draakonibeebi,Draakonibeebi,Draakonibeebit,Draakonibeebist,,,
Sisenesid koopasse.,Kotkapoeg,Kotkapoja,Kotkapojas,Kotkapoega,Kotkapojast,,,
"Leidsid varanduse, mida valvab koll. Julged sa teda häirida?",Tilluke madu,Tillukese mao,Tilluke madu,Tillukest madu,Tillukesest maost,,,
Võitle,Lohepoeg,Lohepoja,Lohepoeg,Lohepoega,Lohepojast,,,
Eemal kivide vahel märkad Sa redutamas,Tilluke paharett,Tillukese pahareti,Tillukese pahareti,Tillukest paharetti,Tillukesest paharetist,,,
kes kannab endaga kaasas,Noor kass,Noore kassi,Noores kassis,Noort kassi,Noorest kassist,,,
Kaljulõhe. Miski helgib seal teispool lõhet. Mis see küll olla võiks?,Kass,Kassi,Kassis,Kassi,Kassist,,,
Hüppa üle,Suur kass,Suure kassi,Suures kassis,Suurt kassi,Suurest kassist,,,
(Hinnates kiirelt olukorda: edu võimalused on 1:1 ... Kas proovid?),Noor koer,Noore koera,Noores koeras,Noort koera,Noorest koerast,,,
(Hinnates kiirelt olukorda: edu võimalused on 3:1),Koer,Koera,Koeras,Koera,Koerast,,,
(Hinnates kiirelt olukorda: pole midagi lihtsamat.),Suur koer,Suure koera,Suures koeras,Suurt koera,Suurest koerast,,,
"Käik on kive täis langenud. Sa ei pääse edasi ilma, et puhastaksid läbikäigu kividest.",Ratsakütt,Ratsaküti,Ratsakütis,Ratsakütti,Ratsakütist,Ratsakütile,,
"Kuid. Oled liialt nõrk, et liigutada neid kivimürakaid! (oleks tarvis vähemalt 3-st jõudu)",,,,,,,,
Vaata ette! Need kivid tunduvad ikka üsna rasked olevat! (võid endale liiga teha!),Kahekäemõõk,Kahekäemõõga,Kahekäemõõgas,Kahekäemõõka,,,,
Puhasta käik,Sõjakirves,Sõjakirve,Sõjakirves,Sõjakirvest,,,,
Leidsid iidse haukambri! Kuid Sinna pääsed vaid kui paned oma võlujõu proovile.,Kilpkonnapoeg,Kilpkonnapoja,Kilpkonnapojas,Kilpkonnapoega,Kilpkonnapojast,Kilpkonnapojale,,
Müstiline erak särab siin omaenese sisemises valguses.,Väike kilpkonn,Väikse kilpkonna,Väikses kilpkonnas,Väikest kilpkonna,Väiksest kilpkonnast,,,
"Milline õnnelik kohtumine! Rõõmus Sind nähes, pakub ta oma abi ...",Noor kilpkonn,Noore kilpkonna,Noores Kilpkonnas,Noort kilpkonna,Noorest kilpkonnast,,,
Lase end ravida,Kilpkonn,Kilpkonna,Kilpkonnas,Kilpkonna,Kilpkonnast,,,
Arenda võlujõudu,Suur kilpkonn,Suure Kilpkonna,Suures Kilpkonnas,Suurt kilpkonna,Suurest kilpkonnast,,,
Jõudsid seitsme purskkaevu saali. Iga purskkaev on erinevat värvi!,Hiigelkilpkonn,Hiigelkilpkonna,Hiigelkilpkonnas,Hiigelkilpkonna,Hiigelkilpkonnast,,,
Lahenda mõistatus,Väike armadillo,Väikse armadillo,Väikses armadillos,Väikest armadillot,Väiksest armadillost,,,
Joo,Noor armadillo,Noore armadillo,Noores armadillos,Noort armadillot,Noorest armadillost,,,
Kolm neist purskkaevudest on vett täis! Joo ühest ...,Armadillo,Armadillo,Armadillos,Armadillot,Armadillost,,,
Tunned Sind läbivat tugevat energiavoogu.,Suur armadillo,Suure armadillo,Suures armadillos,Suurt armadillot,Suurest armadillost,,,
Hetkeks tunned end kurnatuna.,Tilluke armadillo,Tillukese armadillo,Tillukeses armadillos,Tillukest armadillot,Tillukesest armadillost,,,
+ 1,Hiigelkaru,Hiigelkaru,Hiigelkarus,Hiigelkarut,Hiigelkarust,,,
mana taastumisele.,Elektrisipelgas,Elektrisipelga,Elektrisipelga,Elektrisipelgat,Elektrisipelgast,,,
Soovid Sa juua,Iidne sitikas,Iidse sitika,Iidses sitikas,Iidset sitikat,Iidsest sitikast,,,
purskkaevust?,Muumia,Muumia,Muumias,Muumiat,Muumiast,,,
Korjad kulla kokku ning loed kiirelt üle.,Viirastus,Viirastuse,Viirastuses,Viirastust,Viirastusest,,,
Kokku oli,Varas,Varga,Vargas,Varast,Vargast,,,
kulda.,Marodöör,Marodööri,Marodööris,Marodööri,Marodöörist,,,
Leidsid väikese koguse kulda.,Röövlipealik,Röövlipealiku,Röövlipealikus,Röövlipealikut,Röövlipealikust,,,
Kerge hüpe - ja üle Sa olidki.,Poliitik,Poliitiku,Poliitikus,Poliitikut,Poliitikust,,,
Võtad hoogu ja hüppad ...,Kõvakilp Krabi,Kõvakilp Krabi,Kõvakilp Krabis,Kõvakilp Krabi,Kõvakilp Krabist,,,
...maandusid õnnelikult ühele välja eenduvale kaljunukile. See läks napilt!,Krokodill,Krokodilli,Krokodillsi,Krokodilli,Krokodillist,,,
Pärast sellist katsumust - oled osavam (+1 osavusele lisaks),Mereröövel,Mereröövli,Mereröövlis,Mereröövlit,Mereröövlist,,,
Võtad hoogu ja hüppad ...,Kraken,Krakeni,Krakenis,Krakenit,Krakenist,,,
...kuid Sul ei õnnestunud hüpata üle lõhe.,,,,,,,,
Kaljult kaljule langedes jõuad Sa lõpuks põhja välja.,,,,,,,,
Kaotasid,Sarkofaag,Sarkofaagi,Sarkofaagis,Sarkofaagi,Sarkofaagist,,,
elupunkti.,Võlukamber,Võlukambri,Võlukambris,Võlukambrit,Võlukambrist,,,
Said surma!!!,Võlusaal,Võlusaali,Võlusaalis,Võlusaali,Võlusaalist,,,
"Olles kivid eemaldanud..., paljastus Sulle salajase kambri uks.",Täpsusekivi,Täpsusekivi,Täpsusekivis,Täpsusekivi,Täpsusekivist,,,
Kambri vasakust nurgast leiad Sa tolmunud kirstu. Avad kirstu ja leiad sealt...,Täpsusekristall,Täpsusekristalli,Täpsusekristallis,Täpsusekristalli,Täpsusekristallist,,,
See kivide veeretamine oli tõsine katsumus.,Tarkusekivi,Tarkusekivi,Tarkusekivis,Tarkusekivi,Tarkusekivist,,,
Kivide alt leidsid Sa vana räbaldunud seljakoti. Avad selle ja leiad sealt ...,,,,,,,,
Kivid olid liiga rasked! Sa ei jõudnud neid ära liigutada.,,,,,,,,
Keskendunult ja täpselt tegutsedes õnnestus Sul mõistatus lahendada.,,,,,,,,
Nüüd võid muret tundmata seda iidset hauakambrit uurida. Leidsid varanduse ...,,,,,,,,
Enesekindel tegutsemine on lisanud Sulle võlujõudu (+1 võlujõule),,,,,,,,
Hindasid oma jõudu üle. Ebaõnnestusid ning nüüd tabab Sind kivirahe.,,,,,,,,
Kaotasid,,,,,,,,
elupunkti.,jõud,jõu,,jõudu,,,,
"Et pääseda hauakambrisse, selleks pead lahendama mõistatuse.",osavus,osavuse,,osavust,,,,
Kuuldused Sinu edust on jõudnud kuningani! Kuningas saadab Sulle kingituse...,võlujõud,võlujõu,,võlujõudu,,,,
Vali neist üks ...,,,,,,,,
"Katakombi sügavustest leidsid vangikongi, mida valvab",,,,,,,,
"Katakombi sügavustest leidsid vangikongi, mille uks on nõiutud.",,,,,,,,
(et murda nõidust - selleks oleks tarvis vähemalt 3-st võlujõudu),,,,,,,,
Murra nõidus,,,,,,,,
Võitle valvuriga,,,,,,,,
Vabasta vangistatud,,,,,,,,
ja ta on igavesti Sulle tänulik.,,,,,,,,
Viimaks. Nõidus on murtud. Tänulik vang langetab Sinu ees pea.,,,,,,,,
Kahjuks on Sul juba maksimaalne arv kaaslasi.,,,,,,,,
ühines Sinu vägedega.,,,,,,,,
Nõidus ei murdu Su loitsimiste ees.,,,,,,,,
Mine vasakule,,,,,,,,
Mine paremale,,,,,,,,
Mine otse,,,,,,,,
märkad seal midagi helkimas.,,,,,,,,
"kuuled hääli, justkui oleks seal keegi liikumas.",,,,,,,,
kuuled sealt vee vulinat.,,,,,,,,
seal lasub pime ja rõhuv vaikus.,,,,,,,,
Vaata vasakule:,,,,,,,,
Vaata paremale:,,,,,,,,
Vaata otse:,,,,,,,,
Õpi,,,,,,,,
"Märkad vana, kuid austusväärset meest kaljunukil istumas.",,,,,,,,
Ta nõustus Sulle õpetama uue loitsu.,,,,,,,,
"Jõudsid maagilise maa-aluse jõe äärde, millel on võime relvadele uusi omadusi anda.",,,,,,,,
koit,,,,,,,,
hommik,,,,,,,,
pärastlõuna,,,,,,,,
õhtu,,,,,,,,
loojang,,,,,,,,
Päev,,,,,,,,
Julged Sa üle lõhe hüpata?,,,,,,,,
purskkaevust,,,,,,,,
paremaks,,,,,,,,
Ehita,,,,,,,,
Ehitasid,,,,,,,,
Kas Sa tõepoolest soovid ehitada,,,,,,,,
kulla eest?,,,,,,,,
Sinu teadmised,,,,,,,,
nõidusest suurenesid (nüüd tugevusastmel,,,,,,,,
).,,,,,,,,
nõidusest vähenesid.,,,,,,,,
Sa lööd nüüd,,,,,,,,
korda ühes roundis.,,,,,,,,
Sa lööd nüüd ainult ühe korra roundis.,,,,,,,,
Sa lööd nüüd ainult,,,,,,,,
annab iga päev,,,,,,,,
mana.,,,,,,,,
Suurendab Su teadmisi,,,,,,,,
nõidusest.,,,,,,,,
Annab,,,,,,,,
lisalöögi roundis.,,,,,,,,
lisalööki roundis.,,,,,,,,
Võimaldab ehitada lisaehitisi.,,,,,,,,
lisa,,,,,,,,
kohta,,,,,,,,
koha,,,,,,,,
", kuhu asuvad kaitsesse vibumehed.",,,,,,,,
Sinu vibumeeste tüüp saab olema,,,,,,,,
Puhkamine paraneb siin (+,,,,,,,,
puhkeväärtusele).,,,,,,,,
Maa maksumäär tõuseb (+,,,,,,,,
).,,,,,,,,
Võimaldab värvata uusi jõude oma vägedesse (,,,,,,,,
).,,,,,,,,
Võimaldab,,,,,,,,
Elupunktid,,,,,,,,
löök.,,,,,,,,
x raundi jooksul,,,,,,,,
jõud,,,,,,,,
osavus,,,,,,,,
võluvõime,,,,,,,,
Kaitse:,,,,,,,,
Mana,,,,,,,,
Teab,,,,,,,,
nõidust.,,,,,,,,
päeva veel,,,,,,,,
Maa kaitsja:,,,,,,,,
Maa:,,,,,,,,
Omanik:,,,,,,,,
omab,,,,,,,,
elupunkti ja ta teeb,,,,,,,,
lööke,,,,,,,,
Maalt laekuv kuld:,,,,,,,,
kulda,,,,,,,,
Puhkeväärtus:,,,,,,,,
Maa algne maksumäär:,,,,,,,,
Maksumus:,,,,,,,,
Neutraalsed,,,,,,,,
Kindlustusi ei ole,,,,,,,,
Kants (tase 1),,,,,,,,
Linnus (tase 2),,,,,,,,
Kindlus (tase 3),,,,,,,,
Tule mana,,,,,,,,
Maa mana,,,,,,,,
Vee mana,,,,,,,,
Õhu mana,,,,,,,,
Valge maagia mana,,,,,,,,
Musta maagia mana,,,,,,,,
Arkaane mana,,,,,,,,
Annab,,,,,,,,
mana.,,,,,,,,
Mana ei anna.,,,,,,,,
kord roundis.,,,,,,,,
korda roundis.,,,,,,,,
Maa:,,,,,,,,
teeb,,,,,,,,
kahju.,,,,,,,,
Kaitse:,,,,,,,,
Lahing,,,,,,,,
(,,,,,,,,
)   (,,,,,,,,
omab,,,,,,,,
elu,,,,,,,,
ja,,,,,,,,
kaitset.,,,,,,,,
teeb,,,,,,,,
d,,,,,,,,
lööke.,,,,,,,,
lööke,,,,,,,,
ja lööb,,,,,,,,
korda roundis.,,,,,,,,
Jõud:,,,,,,,,
",  Osavus:",,,,,,,,
",  Võlujõud:",,,,,,,,
"Nõidused, mida oskab:",,,,,,,,
Maade arv:,,,,,,,,
Sissetulek:,,,,,,,,
Kuld:,,,,,,,,
Kaaslaste arv:,,,,,,,,
Kasutatav relv:,,,,,,,,
kahju,,,,,,,,
(Pakkumine tehti tänu sellele et sul on vähemalt,,,,,,,,
jõudu,,,,,,,,
osavust,,,,,,,,
võlujõudu,,,,,,,,
kaitset,,,,,,,,
"(Kõige harilikum lemmik, igaüks võib saada)",,,,,,,,
),,,,,,,,
jõule.,,,,,,,,
osavusele.,,,,,,,,
võlujõule.,,,,,,,,
Suurendaks su teadmisi,,,,,,,,
nõidusest.,Hobune,Hobuse,Hobunei,Hobust,Hobusest,Hobusele,Hobuneile,
nõidusest. (,Karola,Karola,Karolai,Karolat,Karolast,Karolale,Jobu2ile,
Nõidumiseks on vajalik,Face,Face,Karolai,Face,Facest,Facele,Andresile,
mana olemasolu. (loe enne nõidus läbi),Mart,Mardi,Marti,Martti,Mardist,Mardile,Karolaile,
mana olemasolu.),Kristias,Kristiase,Kristiasi,Kristiast,Kristiasest,Kristiasele,Kristiasile,
sinu kaardi peal rändamise maksimum kiirusele.,Martin,Martini,Martini,Martinit,Martinist,Martinile,Martinile,
mana tekkimisele,Eva,,Evai,Evat,Evast,Evale,Evaile,
Sa oled suremas!,rainar,rainari,rainari,rainarit,rainarist,rainarile,rainarile,
", sa pead otsustama!",Kristjan,Kristjani,Kristjani,Kristjanit,Kristjanst,Kristjanile,Kristjanile,
",",Creature,Creature,Creaturei,Creaturet,Creaturest,Creaturele,Creatureile,
Kas sa aitad oma maad kaitsta või põgened kaugemale?,Michelek,Micheleki,Micheleki,Michelekit,Michelekst,Michelekile,Michelekile,
Liitu lahinguga,Annika,Annika,Annikai,Annikat,Annikast,Annikale,Annikaile,
Liigu eemale,YpsiloN,Ypsiloni,YpsiloNi,YpsiloNi,YpsiloNist,YpsiloNile,YpsiloNile,
ründab su maad!,Konrad,Konradi,Konradi,Konradit,Konradist,Konradile,Konradile,
", sa oled uimaseks löödud ja ei suuda midagi teha!!",Risto,Risto,Ristoi,Ristot,Ristost,Ristole,Ristoile,
", sa oled ära külmunud ja ei suuda end liigutada!!",Aare,Aare,Aarei,Aaret,Aarest,Aarele,Aareile,
", sa oled uimaseks löödud ja ära kulmutatud ja ei suuda midagi teha!!",Jobu2,,Jobu2i,,,,Jobu2ile,
", anna oma käsud lahinguks!",Janar,Janari,Janari,Janarit,Janarst,Janarile,Janarile,
Sa annad kõigile signaali,Hannes,Hannese,Hannesi,Hannest,Hannesest,Hannesele,Hannesile,
taganeda,Stolin,Stolini,Stolini,Stolinit,Stolinist,Stolinile,Stolinile,
lahinguväljalt!,,,,,,,,
rünnata,,,,,,,,
vastast!,,,,,,,,
Ründa,,,,,,,,
Põgene,,,,,,,,
Sihi,,,,,,,,
vägesid,,,,,,,,
kaitsjaid,,,,,,,,
Anna käsk: kõigil rünnata!,,,,,,,,
Anna käsk: kõigil taganeda!,,,,,,,,
nõiduse sihtmärki pole mitte kuskil näha. Nõidus katkestatud.,,,,,,,,
", kes kaotab",,,,,,,,
elu.,,,,,,,,
ei suutnud,,,,,,,,
üldse kahjustada...,,,,,,,,
(Tase,,,,,,,,
", mis kaotab",,,,,,,,
tugevuse punkti.,,,,,,,,
ja,,,,,,,,
"läbi turvise, kes kaotab",,,,,,,,
elu. (,,,,,,,,
läks löögist vähemaks tänu kaitsele),,,,,,,,
sai sügava haava!,,,,,,,,
on löögi võimsusest oimetu!!,,,,,,,,
põletavad leegid (kaotab,,,,,,,,
tabab elekter (kaotab,,,,,,,,
tabab jäine külmus (kaotab,,,,,,,,
tabab tugev mürgiannus!! (kaotab,,,,,,,,
elu),,,,,,,,
ja põleb heleda leegiga,,,,,,,,
ja läheb põlema.,,,,,,,,
ja on üleni jääs.,,,,,,,,
!,,,,,,,,
peab tulele vastu!!,,,,,,,,
peab elektrile vastu!!,,,,,,,,
peab külmale vastu!!,,,,,,,,
ei ole mürgist mõjutatud!!,,,,,,,,
tugevuse punkti),,,,,,,,
ajab,,,,,,,,
"taga, kuid ei suuda",,,,,,,,
kätte saada!,,,,,,,,
taga ja,,,,,,,,
on surnud!,,,,,,,,
on purustatud!,,,,,,,,
Kaitsjad on kõik põgenenud ja sa jätnud oma kodud valveta!,,,,,,,,
Nüüd sa võid siin kõik tühjaks röövida!,,,,,,,,
"Kahjuks on saabunud juba öö, nii et pole aega nende varanduse röövimiseks.",,,,,,,,
Kaitsjad on põgenenud!,,,,,,,,
sa kaotasid,,,,,,,,
elu see lahing!,,,,,,,,
sa said juurde,,,,,,,,
põleb kirka leegiga! (,,,,,,,,
-ne elukaotus),,,,,,,,
lahtised haavad jooksevad verd! (,,,,,,,,
-ne tugevuspunktide kaotus),,,,,,,,
põgenes lahingust!,,,,,,,,
on oimetu ja ei suuda põgeneda!,,,,,,,,
on jäätunud ja ei suuda põgeneda!,,,,,,,,
", naabruses oleva",,,,,,,,
"kaitsja, saabus lahingusse appi!",,,,,,,,
Lahingu nõidused,,,,,,,,
Sa oskad selliseid rahumeelseid loitse:,,,,,,,,
nõuab,,,,,,,,
Sa ei tea ühtki rahumeelset loitsu.,,,,,,,,
Rahumeelsed loitsud:,,,,,,,,
Sa oskad selliseid lahingu loitse:,,,,,,,,
Sa ei tea ühtki lahingu loitsu.,,,,,,,,
Sa kasutasid,,,,,,,,
nõidust  (tugevusastmel,,,,,,,,
),,,,,,,,
Sul jäi,,,,,,,,
mana järele.,,,,,,,,
mana  (Sul on,,,,,,,,
mana).,,,,,,,,
Sul pole piisavalt mana et seda nõidust kasutada!,,,,,,,,
Sa tekitasid nõidusega,,,,,,,,
kulda!!!,,,,,,,,
Mingi asi moodustus su jalge ees!,,,,,,,,
tekitas,,,,,,,,
Sa tekitasid nõidusega,,,,,,,,
(Tase,,,,,,,,
),,,,,,,,
Kahjuks su kaaslaste maximum arv on täis!,,,,,,,,
parandab,,,,,,,,
täiesti terveks,,,,,,,,
haavu,,,,,,,,
elu võrra.,,,,,,,,
nõidus loob maagilise turvise,,,,,,,,
nõidus parandab,,,,,,,,
nõidus pikendab,,,,,,,,
maagilise turvise kestvust.,,,,,,,,
nõidusel ei olnud mingit mõju.,,,,,,,,
ümber.,,,,,,,,
maagilise turvise kaitsevõimet.,,,,,,,,
nõidus paneb,,,,,,,,
palju kiiremini liikuma ja ründama!,,,,,,,,
nõidus parandab,,,,,,,,
rünnaku kiirust!,,,,,,,,
nõidus pikendab,,,,,,,,
kiirenduva nõiduse kestvust.,,,,,,,,
nõidus teeb,,,,,,,,
füüsiliselt palju tugevamaks!,,,,,,,,
nõidus suurendab,,,,,,,,
füüsilist jõudu!,,,,,,,,
nõidus pikendab,,,,,,,,
peal oleva jõu-nõiduse kestvust.,,,,,,,,
Sinu,,,,,,,,
nõidus võtab võimu tuulte üle!,,,,,,,,
nõidus võtab veel tugevamalt võimu tuulte üle!,,,,,,,,
nõidus pikendab nõiduslikku võimu tuulte üle!,,,,,,,,
sihtmärgiks on:,,,,,,,,
Kasuta,,,,,,,,
nõidust,,,,,,,,
MÄNG lõppes VIIGIGA!,,,,,,,,
", sinu jaoks on mäng läbi!",,,,,,,,
See nõidus,,,,,,,,
VÕIT,,,,,,,,
on sinu,,,,,,,,
Siin saad sulle teada olevaid nõiduseid kõrgema taseme peale õppida:,,,,,,,,
Maksab,,,,,,,,
kulda et tõsta nõiduse praegust taset,,,,,,,,
tasemele,,,,,,,,
Õpi,,,,,,,,
Siin saad sulle teada olevaid nõiduseid kõrgema taseme peale õppida.,,,,,,,,
Kahjuks sa ei tea veel ühtki nõidust!,,,,,,,,
paremaks,,,,,,,,
Sa teadmised,,,,,,,,
nõidusest paranesid.,,,,,,,,
Kas sa tõesti soovid oma teadmisi,,,,,,,,
nõidusest tõsta tasemelt,,,,,,,,
tasemele,,,,,,,,
?,,,,,,,,
(Maksab,,,,,,,,
kulda ja võtab aega terve päeva),,,,,,,,
(Nõiduse õppimine võtab aega terve päeva),,,,,,,,
Kas sa tõesti soovid ära õppida,,,,,,,,
nõiduse?,,,,,,,,
Teisele mängijale asjade saatmine,,,,,,,,
Sinu,,,,,,,,
lahkus su armeest.,,,,,,,,
Sa piinled,,,,,,,,
mürgi käes. (,,,,,,,,
elu kaotus.),,,,,,,,
Sa said,,,,,,,,
elu juurde.,,,,,,,,
Sul tekkis,,,,,,,,
),,,,,,,,
piinleb,,,,,,,,
on surnud!,,,,,,,,
mana (kokku,,,,,,,,
